Longevity data downloaded from FMP by Suheeta Roy on 3 Feb 2023,,,,,,,,,,,,
Aging BXD colony @ UTHSC on two diets- chow and high fat,,,,,,,,,,,,
Animals with age at death >200 days are considered for longevity analysis,,,,,,,,,,,,
,,,,,,,,,,,,
Index,EarTagNumberCurrent,EarTagNumberOriginal,StrainName,Sex,Diet,AgeAtDeath (days),CauseOfDeath,DateOfBirth,DateDietStart,DateOfDeath,AgeAtSettingUp (days),
286,302,302,BXD83,F,CD,603,Natural,3/2/11,2/13/12,10/25/12,348,
287,2515,2515,BXD16,F,CD,603,Natural,10/30/15,1/14/16,6/24/17,76,
288,4838,4838,BXD50,F,CD,604,Euthanized,12/21/20,3/25/22,8/17/22,459,
289,2351,2351,BXD8,F,CD,604,Natural,6/23/15,11/3/15,2/16/17,133,
290,2424,2424,BXD6,F,CD,604,Natural,9/13/15,11/6/15,5/9/17,54,
291,528,528,C57BL/6J,F,CD,606,Natural,2/4/12,7/20/12,10/2/13,167,
292,2216,2216,BXD170,F,CD,607,Natural,6/22/15,8/5/15,2/18/17,44,
293,2644,2644,DBA/2J,F,CD,607,Natural,1/12/16,12/13/16,9/10/17,336,
294,415,415,BXD61,F,CD,608,Euthanized,10/28/11,7/20/12,6/27/13,266,
295,2561,2561,BXD19,F,CD,609,Natural,1/10/16,2/12/16,9/10/17,33,
296,863,863,BXD95,F,CD,610,Natural,1/16/12,7/20/12,9/17/13,186,
297,2863,2863,BXD191,F,CD,611,Euthanized,6/6/18,8/13/18,2/7/20,68,
298,20,20,BXD70,F,CD,613,Natural,4/4/11,2/13/12,12/7/12,315,
299,744,744,BXD29,F,CD,614,Euthanized,11/25/11,7/20/12,7/31/13,238,
300,2646,2646,DBA/2J,F,CD,614,Natural,5/2/16,12/13/16,1/6/18,225,
301,2273,2273,BXD99,F,CD,616,Euthanized,2/11/14,8/5/15,10/20/15,540,
302,2726,2726,BXD199,F,CD,616,Euthanized,10/30/17,1/8/18,7/8/19,70,
303,2727,2727,BXD199,F,CD,616,Euthanized,10/30/17,1/8/18,7/8/19,70,
304,2731,2731,BXD197,F,CD,616,Euthanized,10/31/17,1/8/18,7/9/19,69,
305,3063,3063,BXD169,F,CD,616,Euthanized,2/14/19,3/4/20,10/22/20,384,
306,3086,3086,DBA/2J,F,CD,616,Euthanized,7/30/18,3/16/20,4/6/20,595,
307,1900,1900,BXD70,F,CD,616,Natural,7/10/14,10/22/14,3/17/16,104,
308,2822,2822,BXD11,F,CD,617,Euthanized,4/25/18,7/12/18,1/2/20,78,
309,2824,2824,BXD14,F,CD,617,Euthanized,4/11/18,7/12/18,12/19/19,92,
310,688,688,BXD9,F,CD,617,Natural,3/15/12,7/20/12,11/22/13,127,
311,2687,2687,BXD191,F,CD,618,Euthanized,9/13/17,11/20/17,5/24/19,68,
312,2043,2043,BXD43,F,CD,619,Natural,10/17/14,2/6/15,6/27/16,112,
313,2196,2196,BXD178,F,CD,619,Natural,6/10/15,8/5/15,2/18/17,56,
314,2901,2901,BXD22,F,CD,619,Natural,8/10/18,11/19/18,4/20/20,101,
315,2852,2852,BXD1,F,CD,620,Euthanized,6/11/18,7/23/18,2/21/20,42,
316,569,569,BXD69,F,CD,621,Natural,1/4/12,7/20/12,9/16/13,198,
317,2064,2064,BXD61,F,CD,621,Natural,10/8/14,2/6/15,6/20/16,121,
318,3206,3206,BXD170,F,CD,622,Euthanized,5/10/20,9/23/20,1/22/22,136,
319,1306,1101,DBA/2J,F,CD,622,Natural,2/20/13,8/8/13,11/4/14,169,
320,2458,2458,BXD6,F,CD,622,Natural,11/5/15,1/14/16,7/19/17,70,
321,889,889,BXD91,F,CD,623,Natural,1/31/12,7/20/12,10/15/13,171,
322,3141,3141,BXD5,F,CD,624,Euthanized,9/3/19,8/7/20,5/19/21,339,
323,331,331,BXD77,F,CD,624,Natural,10/24/11,2/13/12,7/9/13,112,
324,373,373,BXD9,F,CD,625,Euthanized,9/24/11,2/13/12,6/10/13,142,
325,3080,3080,BXD186,F,CD,625,Euthanized,9/23/18,3/5/20,6/9/20,529,
326,1845,1845,BXD62,F,CD,625,Natural,7/9/14,10/22/14,3/25/16,105,
327,2234,2234,BXD122,F,CD,625,Natural,6/2/14,8/5/15,2/17/16,429,
328,213,213,BXD48a,F,CD,628,Euthanized,9/17/11,2/13/12,6/6/13,149,
329,2049,2049,BXD48,F,CD,628,Natural,10/18/14,2/6/15,7/7/16,111,
330,2194,2194,BXD178,F,CD,629,Natural,6/10/15,8/5/15,2/28/17,56,
331,2675,2675,BXD16,F,CD,629,Natural,1/6/17,2/24/17,9/27/18,49,
332,278,278,BXD39,F,CD,630,Euthanized,9/29/11,2/13/12,6/20/13,137,
333,106,106,BXD56,F,CD,630,Natural,12/16/10,2/13/12,9/6/12,424,
334,2403,2403,BXD19,F,CD,630,Natural,8/13/15,11/6/15,5/4/17,85,
335,2602,2602,BXD170,F,CD,630,Natural,7/8/16,8/11/16,3/30/18,34,
336,122,122,BXD85,F,CD,631,Euthanized,5/25/11,2/13/12,2/14/13,264,
337,67,67,BXD90,F,CD,631,Natural,7/22/10,2/13/12,4/13/12,571,
338,68,68,BXD90,F,CD,631,Natural,7/22/10,2/13/12,4/13/12,571,
339,98,98,BXD12,F,CD,631,Natural,8/12/10,2/13/12,5/4/12,550,
340,3275,3275,BXD218,F,CD,631,Natural,9/8/20,12/15/20,6/1/22,98,
341,3276,3276,BXD218,F,CD,631,Natural,9/8/20,12/15/20,6/1/22,98,
342,307,307,BXD48a,F,CD,632,Euthanized,11/13/11,2/13/12,8/6/13,92,
343,1854,1854,BXD70,F,CD,632,Natural,8/13/14,10/22/14,5/6/16,70,
344,3145,3145,BXD68,F,CD,632,Natural,5/12/19,8/7/20,2/2/21,453,
345,2653,2653,DBA/2J,F,CD,633,Euthanized,4/8/16,12/13/16,1/1/18,249,
346,2167,2167,BXD24,F,CD,633,Natural,11/30/14,3/13/15,8/24/16,103,
347,333,333,BXD77,F,CD,634,Natural,10/24/11,2/13/12,7/19/13,112,
348,3144,3144,BXD44,F,CD,635,Euthanized,5/9/19,8/7/20,2/2/21,456,
349,49,49,BXD89,F,CD,636,Natural,6/29/11,2/13/12,3/26/13,229,
350,2490,2490,BXD62,F,CD,636,Natural,8/12/15,1/14/16,5/9/17,155,
351,1871,1871,BXD63,F,CD,637,Euthanized,8/8/14,10/22/14,5/6/16,75,
352,1347,1347,BXD45,F,CD,637,Natural,5/21/13,11/15/13,2/17/15,178,
353,478,22,BXD70,F,CD,638,Natural,6/15/11,2/13/12,3/14/13,243,
354,2205,2205,BXD6,F,CD,638,Natural,6/2/15,8/5/15,3/1/17,64,
355,303,303,BXD83,F,CD,639,Natural,3/2/11,2/13/12,11/30/12,348,
356,2190,2190,BXD27,F,CD,639,Natural,6/9/15,8/5/15,3/9/17,57,
357,4834,4834,BXD125,F,CD,640,Euthanized,9/8/20,3/25/22,6/10/22,563,
358,2730,2730,BXD197,F,CD,640,Natural,10/31/17,1/8/18,8/2/19,69,
359,2004,2004,D2B6F1,F,CD,641,Natural,9/3/14,2/6/15,6/5/16,156,
360,140,140,BXD48,F,CD,643,Euthanized,8/26/11,2/13/12,5/30/13,171,
361,2753,2753,BXD187,F,CD,643,Euthanized,1/2/18,2/23/18,10/7/19,52,
362,2929,2929,DBA/2J,F,CD,644,Natural,11/28/17,5/13/19,9/3/19,531,
363,3071,3071,BXD152,F,CD,644,Natural,11/6/18,3/5/20,8/11/20,485,
364,2189,2189,BXD27,F,CD,646,Natural,6/9/15,8/5/15,3/16/17,57,
365,2195,2195,BXD178,F,CD,646,Natural,6/10/15,8/5/15,3/17/17,56,
366,2673,2673,BXD16,F,CD,647,Euthanized,1/6/17,2/24/17,10/15/18,49,
367,2219,2219,BXD157,F,CD,647,Natural,5/29/15,8/5/15,3/6/17,68,
368,3151,3151,BXD155,F,CD,648,Euthanized,3/2/19,8/7/20,12/9/20,524,
369,751,751,BXD32,F,CD,648,Natural,1/14/12,7/20/12,10/23/13,188,
370,2677,2677,BXD16,F,CD,649,Euthanized,1/6/17,2/24/17,10/17/18,49,
371,414,414,BXD61,F,CD,649,Natural,10/28/11,7/20/12,8/7/13,266,
372,3052,3052,BXD205,F,CD,650,Euthanized,1/20/19,3/4/20,10/31/20,409,
373,2750,2750,BXD187,F,CD,651,Euthanized,1/2/18,2/23/18,10/15/19,52,
374,578,578,BXD69,F,CD,652,Natural,3/18/12,7/20/12,12/30/13,124,
375,2293,2293,BXD16,F,CD,653,Natural,5/26/15,8/5/15,3/9/17,71,
376,2612,2612,BXD89,F,CD,655,Euthanized,7/15/16,8/11/16,5/1/18,27,
377,2717,2717,BXD190,F,CD,656,Euthanized,11/1/17,1/8/18,8/19/19,68,
378,2719,2719,BXD190,F,CD,656,Euthanized,11/1/17,1/8/18,8/19/19,68,
379,59,59,BXD73b,F,CD,656,Natural,5/8/11,2/13/12,2/22/13,281,
380,2153,2153,BXD43,F,CD,657,Natural,11/29/14,3/13/15,9/16/16,104,
381,2823,2823,BXD11,F,CD,657,Natural,4/25/18,7/12/18,2/11/20,78,
382,3160,3160,BXD216,F,CD,657,Natural,6/30/19,8/7/20,4/17/21,404,
383,1821,1821,DBA/2J,F,CD,659,Euthanized,7/30/14,10/22/14,5/19/16,84,
384,926,690,C57BL/6J,F,CD,659,Natural,6/12/11,7/20/12,4/1/13,404,
385,769,769,BXD85,F,CD,659,Natural,1/12/12,7/20/12,11/1/13,190,
386,902,902,BXD16,F,CD,659,Natural,10/4/11,7/20/12,7/24/13,290,
387,354,354,BXD43,F,CD,660,Natural,8/9/11,2/13/12,5/30/13,188,
388,2785,2785,BXD75,F,CD,661,Euthanized,2/26/18,5/8/18,12/19/19,71,
389,2364,2364,BXD172,F,CD,662,Natural,7/31/15,11/3/15,5/23/17,95,
390,2549,2549,BXD6,F,CD,662,Natural,12/25/15,2/5/16,10/17/17,42,
391,1914,1891,BXD48,F,CD,663,Natural,5/24/14,10/22/14,3/17/16,151,
392,2951,2951,BXD15,F,CD,664,Euthanized,1/16/18,6/5/19,11/11/19,505,
393,58,58,BXD73b,F,CD,664,Natural,2/12/11,2/13/12,12/7/12,366,
394,391,391,BXD32,F,CD,665,Natural,11/1/11,2/13/12,8/27/13,104,
395,1581,1195,BXD73b,F,CD,665,Natural,11/29/12,8/8/13,9/25/14,252,
396,855,855,BXD95,F,CD,666,Natural,2/14/12,7/20/12,12/11/13,157,
397,2093,2093,BXD63,F,CD,666,Natural,10/5/14,2/6/15,8/1/16,124,
398,3277,3277,BXD102,F,CD,668,Euthanized,12/27/19,12/15/20,10/25/21,354,
399,381,381,BXD48a,F,CD,670,Natural,7/30/11,2/13/12,5/30/13,198,
400,1814,1814,DBA/2J,F,CD,670,Natural,7/1/14,10/22/14,5/1/16,113,
401,2953,2953,BXD1,F,CD,671,Natural,1/23/18,6/5/19,11/25/19,498,
402,1393,1393,BXD75,F,CD,672,Natural,5/28/13,2/28/14,3/31/15,276,
403,2691,2691,BXD190,F,CD,674,Euthanized,9/17/17,11/20/17,7/23/19,64,
404,1861,1861,BXD73,F,CD,674,Natural,8/4/14,10/22/14,6/8/16,79,
405,2029,2029,BXD32,F,CD,676,Natural,9/11/14,2/6/15,7/18/16,148,
406,932,324,BXD100,F,CD,678,Natural,10/31/11,2/10/12,9/8/13,102,
407,3056,3056,BXD184,F,CD,679,Euthanized,7/2/18,3/4/20,5/11/20,611,
408,866,866,BXD95,F,CD,679,Natural,1/18/12,7/20/12,11/27/13,184,
409,1853,1853,BXD69,F,CD,679,Natural,7/9/14,10/22/14,5/18/16,105,
410,125,125,BXD65b,F,CD,680,Natural,11/2/10,2/13/12,9/12/12,468,
411,201,201,BXD9,F,CD,680,Natural,10/8/11,2/13/12,8/18/13,128,
412,2419,2419,BXD6,F,CD,681,Euthanized,8/11/15,11/6/15,6/22/17,87,
413,2797,2797,BXD31,F,CD,682,Natural,3/26/18,6/14/18,2/6/20,80,
414,2407,2407,BXD19,F,CD,683,Euthanized,8/15/15,11/6/15,6/28/17,83,
415,757,757,BXD90,F,CD,683,Natural,12/19/11,7/20/12,11/1/13,214,
416,1947,1543,BXD43,F,CD,683,Natural,2/3/14,4/11/14,12/18/15,67,
417,11,11,BXD60,F,CD,684,Natural,4/18/11,2/13/12,3/2/13,301,
418,215,215,BXD48a,F,CD,685,Natural,9/21/11,2/13/12,8/6/13,145,
419,2357,2357,BXD18,F,CD,685,Natural,6/30/15,11/3/15,5/15/17,126,
420,2688,2688,BXD191,F,CD,686,Euthanized,9/13/17,11/20/17,7/31/19,68,
421,2689,2689,BXD191,F,CD,686,Euthanized,9/13/17,11/20/17,7/31/19,68,
422,2718,2718,BXD190,F,CD,686,Euthanized,11/1/17,1/8/18,9/18/19,68,
423,4841,4841,BXD161,F,CD,686,Euthanized,12/10/20,3/25/22,10/27/22,470,
424,2118,2118,BXD101,F,CD,686,Natural,10/1/14,2/6/15,8/17/16,128,
425,2500,2500,BXD73,F,CD,687,Euthanized,8/5/15,1/14/16,6/22/17,162,
426,479,66,BXD90,F,CD,687,Natural,5/27/10,2/13/12,4/13/12,627,
427,426,426,BXD66,F,CD,687,Natural,11/7/11,2/13/12,9/24/13,98,
428,428,428,BXD66,F,CD,687,Natural,11/7/11,2/13/12,9/24/13,98,
429,318,318,BXD60,F,CD,688,Natural,10/10/11,2/13/12,8/28/13,126,
430,250,250,BXD100,F,CD,689,Natural,10/1/11,2/10/12,8/20/13,132,
431,305,305,BXD48a,F,CD,689,Natural,11/13/11,2/13/12,10/2/13,92,
432,2074,2074,BXD87,F,CD,689,Natural,10/6/14,2/6/15,8/25/16,123,
433,383,383,BXD32,F,CD,690,Natural,9/19/11,2/13/12,8/9/13,147,
434,2005,2005,D2B6F1,F,CD,690,Natural,9/3/14,2/6/15,7/24/16,156,
435,3152,3152,BXD160,F,CD,691,Euthanized,5/8/19,8/7/20,3/29/21,457,
436,3200,3200,BXD77,F,CD,691,Euthanized,12/12/19,9/23/20,11/2/21,286,
437,4842,4842,BXD34,F,CD,691,Euthanized,12/3/20,3/25/22,10/25/22,477,
438,609,609,BXD84,F,CD,691,Natural,1/2/12,7/20/12,11/23/13,200,
439,1803,1803,BXD32,F,CD,691,Natural,7/16/14,10/22/14,6/6/16,98,
440,2896,2896,DBA/2J,F,CD,693,Natural,12/15/18,3/14/19,11/7/20,89,
441,2650,2650,DBA/2J,F,CD,694,Natural,5/2/16,12/13/16,3/27/18,225,
442,2263,2263,BXD169,F,CD,695,Euthanized,6/20/15,8/5/15,5/15/17,46,
443,846,846,BXD53,F,CD,695,Natural,1/4/12,7/20/12,11/29/13,198,
444,2158,2158,BXD45,F,CD,695,Natural,12/30/14,3/13/15,11/24/16,73,
445,379,379,BXD24,F,CD,697,Natural,10/15/11,2/13/12,9/11/13,121,
446,676,676,BXD39,F,CD,697,Natural,1/7/12,7/20/12,12/4/13,195,
447,2206,2206,BXD6,F,CD,697,Natural,6/2/15,8/5/15,4/29/17,64,
448,2955,2955,BXD5,F,CD,697,Natural,1/16/18,6/5/19,12/14/19,505,
449,63,63,BXD66,F,CD,698,Natural,12/19/10,2/13/12,11/16/12,421,
450,2410,2410,BXD27,F,CD,698,Natural,8/13/15,11/6/15,7/11/17,85,
451,401,401,BXD69,F,CD,699,Natural,10/18/11,2/13/12,9/16/13,118,
452,767,767,BXD85,F,CD,699,Natural,1/12/12,7/20/12,12/11/13,190,
453,3201,3201,BXD65,F,CD,699,Natural,11/20/19,9/23/20,10/19/21,308,
454,1572,1469,BXD50,F,CD,700,Natural,2/3/14,4/11/14,1/4/16,67,
455,2416,2416,BXD6,F,CD,701,Euthanized,8/11/15,11/6/15,7/12/17,87,
456,476,18,BXD70,F,CD,701,Natural,10/28/10,2/13/12,9/28/12,473,
457,1700,1700,BXD51,F,CD,701,Natural,12/12/13,7/25/14,11/13/15,225,
458,1877,1877,BXD101,F,CD,701,Natural,7/28/14,10/22/14,6/28/16,86,
459,2102,2102,BXD65b,F,CD,701,Natural,10/25/14,2/6/15,9/25/16,104,
460,2949,2949,BXD31,F,CD,702,Euthanized,1/16/18,6/5/19,12/19/19,505,
461,123,123,BXD90,F,CD,702,Natural,10/26/10,2/13/12,9/27/12,475,
462,2336,2336,BXD168,F,CD,703,Euthanized,7/20/15,11/3/15,6/22/17,106,
463,2337,2337,BXD168,F,CD,703,Euthanized,7/20/15,11/3/15,6/22/17,106,
464,3150,3150,BXD154,F,CD,703,Euthanized,5/28/19,8/7/20,4/30/21,437,
465,620,620,BXD79,F,CD,703,Natural,11/20/11,7/20/12,10/23/13,243,
466,2260,2260,BXD24,F,CD,703,Natural,10/14/14,8/5/15,9/16/16,295,
467,2841,2841,BXD15,F,CD,703,Natural,4/30/18,7/23/18,4/2/20,84,
468,2401,2401,BXD28,F,CD,704,Natural,8/26/15,11/6/15,7/30/17,72,
469,4837,4837,BXD31,F,CD,705,Euthanized,1/14/21,3/25/22,12/20/22,435,
470,4556,4556,BXD73b,F,CD,705,Euthanized,10/23/20,11/29/21,9/28/22,402,
471,316,316,BXD60,F,CD,705,Natural,11/18/11,2/13/12,10/23/13,87,
472,2247,2247,BXD181,F,CD,705,Natural,1/2/14,8/5/15,12/8/15,580,
473,2386,2386,BXD48,F,CD,705,Natural,6/4/15,11/3/15,5/9/17,152,
474,2566,2566,BXD6,F,CD,705,Natural,1/10/16,2/12/16,12/15/17,33,
475,3209,3209,BXD172,F,CD,706,Natural,5/26/20,9/23/20,5/2/22,120,
476,3078,3078,BXD171,F,CD,710,Euthanized,2/15/19,3/5/20,1/25/21,384,
477,8,8,BXD60,F,CD,710,Natural,6/27/11,2/13/12,6/6/13,231,
478,1851,1851,BXD69,F,CD,710,Natural,7/9/14,10/22/14,6/18/16,105,
479,2759,2759,BXD194,F,CD,711,Euthanized,12/25/17,2/23/18,12/6/19,60,
480,2764,2764,BXD172,F,CD,711,Euthanized,1/7/18,2/23/18,12/19/19,47,
481,2859,2859,BXD181,F,CD,711,Euthanized,4/5/18,8/13/18,3/16/20,130,
482,538,538,DBA/2J,F,CD,711,Natural,9/13/11,7/20/12,8/24/13,311,
483,1819,1819,DBA/2J,F,CD,712,Natural,7/30/14,10/22/14,7/11/16,84,
484,161,161,BXD70,F,CD,713,Natural,10/20/11,2/13/12,10/2/13,116,
485,4835,4835,BXD63,F,CD,714,Natural,1/19/21,3/25/22,1/3/23,430,
486,1479,1479,BXD62,F,CD,715,Natural,1/19/14,4/11/14,1/4/16,82,
487,2809,2809,BXD214,F,CD,716,Euthanized,3/28/18,7/6/18,3/13/20,100,
488,65,65,BXD90,F,CD,716,Natural,5/27/10,2/13/12,5/12/12,627,
489,206,206,BXD12,F,CD,717,Natural,10/2/11,2/13/12,9/18/13,134,
490,674,674,BXD39,F,CD,717,Natural,1/7/12,7/20/12,12/24/13,195,
491,1767,1092,BXD90,F,CD,717,Natural,3/12/13,8/8/13,2/27/15,149,
492,2752,2752,BXD187,F,CD,717,Natural,1/2/18,2/23/18,12/20/19,52,
493,10,10,BXD60,F,CD,718,Natural,4/18/11,2/13/12,4/5/13,301,
494,2946,2946,DBA/2J,F,CD,719,Euthanized,5/4/18,5/13/19,4/22/20,374,
495,3067,3067,BXD43,F,CD,719,Euthanized,11/3/18,3/5/20,10/22/20,488,
496,801,801,BXD101,F,CD,719,Natural,12/30/11,7/20/12,12/18/13,203,
497,1496,1496,BXD62,F,CD,720,Natural,1/19/14,4/11/14,1/9/16,82,
498,2630,2630,BXD171,F,CD,720,Natural,8/3/16,9/13/16,7/24/18,41,
499,2755,2755,BXD194,F,CD,721,Natural,12/25/17,2/23/18,12/16/19,60,
500,2055,2055,BXD48,F,CD,722,Natural,10/14/14,2/6/15,10/5/16,115,
501,3081,3081,BXD34,F,CD,722,Natural,12/18/18,3/5/20,12/9/20,443,
502,233,233,BXD102,F,CD,723,Natural,9/18/11,2/10/12,9/10/13,145,
503,714,714,BXD48a,F,CD,723,Natural,3/25/12,7/20/12,3/18/14,117,
504,2608,2608,BXD89,F,CD,723,Natural,6/20/16,8/11/16,6/13/18,52,
505,3046,3046,BXD155,F,CD,723,Natural,12/23/18,3/4/20,12/15/20,437,
506,26,26,BXD73,F,CD,724,Natural,7/12/11,2/13/12,7/5/13,216,
507,3301,3301,BXD102,F,CD,724,Natural,12/27/19,2/4/21,12/20/21,405,
508,2649,2649,DBA/2J,F,CD,725,Natural,5/2/16,12/13/16,4/27/18,225,
509,2664,2664,BXD16,F,CD,725,Natural,10/28/16,12/13/16,10/23/18,46,
510,718,718,BXD98,F,CD,727,Natural,3/9/12,7/20/12,3/6/14,133,
511,2261,2261,BXD169,F,CD,727,Natural,8/29/14,8/5/15,8/25/16,341,
512,2360,2360,BXD178,F,CD,727,Natural,7/22/15,11/3/15,7/18/17,104,
513,101,101,BXD13,F,CD,728,Natural,5/16/10,2/13/12,5/13/12,638,
514,1582,1196,BXD73b,F,CD,728,Natural,12/17/12,8/8/13,12/15/14,234,
515,2070,2070,BXD70,F,CD,728,Natural,9/29/14,2/6/15,9/26/16,130,
516,2224,2224,BXD187,F,CD,728,Natural,6/8/15,8/5/15,6/5/17,58,
517,3047,3047,BXD202,F,CD,730,Euthanized,12/16/18,3/4/20,12/15/20,444,
518,13,13,BXD61,F,CD,730,Natural,12/1/10,2/13/12,11/30/12,439,
519,2864,2864,BXD181,F,CD,731,Euthanized,5/11/18,8/13/18,5/11/20,94,
520,3059,3059,BXD214,F,CD,731,Euthanized,6/17/18,3/4/20,6/17/20,626,
521,73,73,BXD98,F,CD,732,Natural,11/15/10,2/13/12,11/16/12,455,
522,128,128,BXD65b,F,CD,732,Natural,2/13/11,2/13/12,2/14/13,365,
523,2851,2851,BXD22,F,CD,733,Euthanized,5/2/18,7/23/18,5/4/20,82,
524,3211,3211,BXD65,F,CD,733,Euthanized,11/20/19,9/23/20,11/22/21,308,
525,2529,2529,BXD28,F,CD,734,Euthanized,10/20/15,1/15/16,10/23/17,87,
526,2467,2467,BXD90,F,CD,734,Natural,11/24/15,1/14/16,11/27/17,51,
527,2082,2082,BXD90,F,CD,735,Natural,10/18/14,2/6/15,10/22/16,111,
528,2,2,BXD43,F,CD,736,Natural,8/11/10,2/13/12,8/16/12,551,
529,1495,1495,BXD62,F,CD,737,Natural,1/19/14,4/11/14,1/26/16,82,
530,2173,2173,C57BL/6J,F,CD,737,Natural,12/10/14,3/13/15,12/16/16,93,
531,85,85,BXD29,F,CD,738,Natural,4/18/11,2/13/12,4/25/13,301,
532,134,134,BXD48,F,CD,738,Natural,9/9/11,2/13/12,9/16/13,157,
533,785,785,BXD73b,F,CD,738,Natural,2/27/12,7/20/12,3/6/14,144,
534,717,717,BXD98,F,CD,739,Natural,3/9/12,7/20/12,3/18/14,133,
535,1533,1533,BXD29,F,CD,739,Natural,1/6/14,4/11/14,1/15/16,95,
536,786,786,BXD73b,F,CD,740,Natural,2/27/12,7/20/12,3/8/14,144,
537,2236,2236,BXD175,F,CD,740,Natural,11/13/14,8/5/15,11/22/16,265,
538,677,677,BXD39,F,CD,741,Natural,1/7/12,7/20/12,1/17/14,195,
539,1600,1600,BXD39,F,CD,741,Natural,2/6/14,6/12/14,2/17/16,126,
540,2159,2159,BXD45,F,CD,741,Natural,12/30/14,3/13/15,1/9/17,73,
541,2248,2248,BXD181,F,CD,741,Natural,10/23/13,8/5/15,11/3/15,651,
542,3155,3155,BXD205,F,CD,741,Natural,7/14/19,8/7/20,7/24/21,390,
543,2101,2101,BXD65b,F,CD,742,Natural,10/25/14,2/6/15,11/5/16,104,
544,295,295,BXD29,F,CD,743,Natural,10/4/11,2/13/12,10/16/13,132,
545,1765,1259,C57BL/6J,F,CD,743,Natural,3/24/13,8/8/13,4/6/15,137,
546,3157,3157,BXD214,F,CD,743,Natural,5/4/19,8/7/20,5/16/21,461,
547,12,12,BXD61,F,CD,744,Natural,12/1/10,2/13/12,12/14/12,439,
548,353,353,BXD48a,F,CD,745,Natural,7/30/11,2/13/12,8/13/13,198,
549,2361,2361,BXD178,F,CD,745,Natural,7/22/15,11/3/15,8/5/17,104,
550,2758,2758,BXD194,F,CD,746,Euthanized,12/25/17,2/23/18,1/10/20,60,
551,432,432,BXD89,F,CD,747,Natural,11/5/11,2/13/12,11/21/13,100,
552,1760,1717,BXD63,F,CD,748,Natural,5/12/14,7/25/14,5/29/16,74,
553,2902,2902,BXD22,F,CD,749,Euthanized,8/10/18,11/19/18,8/28/20,101,
554,312,312,BXD55,F,CD,750,Natural,10/20/11,2/13/12,11/8/13,116,
555,3070,3070,BXD152,F,CD,750,Natural,11/6/18,3/5/20,11/25/20,485,
556,2950,2950,BXD15,F,CD,751,Euthanized,1/16/18,6/5/19,2/6/20,505,
557,1890,1890,BXD40,F,CD,751,Natural,7/6/14,10/22/14,7/26/16,108,
558,2222,2222,BXD113,F,CD,751,Natural,6/2/15,8/5/15,6/22/17,64,
559,2629,2629,BXD169,F,CD,751,Natural,8/8/16,9/13/16,8/29/18,36,
560,2638,2638,BXD84,F,CD,753,Natural,7/25/16,9/13/16,8/17/18,50,
561,2583,2583,BXD172,F,CD,754,Natural,5/21/16,7/1/16,6/14/18,41,
562,2611,2611,BXD89,F,CD,755,Natural,7/15/16,8/11/16,8/9/18,27,
563,2810,2810,BXD15,F,CD,756,Euthanized,4/16/18,7/6/18,5/11/20,81,
564,150,150,BXD102,F,CD,756,Natural,7/19/11,2/10/12,8/13/13,206,
565,3082,3082,BXD160,F,CD,756,Natural,2/18/19,3/5/20,3/15/21,381,
566,105,105,BXD56,F,CD,757,Natural,12/16/10,2/13/12,1/11/13,424,
567,107,107,BXD56,F,CD,757,Natural,12/16/10,2/13/12,1/11/13,424,
568,2390,2390,BXD98,F,CD,757,Natural,6/16/15,11/3/15,7/12/17,140,
569,126,126,BXD65b,F,CD,759,Natural,11/2/10,2/13/12,11/30/12,468,
570,349,349,BXD98,F,CD,759,Natural,10/24/11,2/13/12,11/21/13,112,
571,2927,2927,DBA/2J,F,CD,760,Euthanized,9/23/17,5/13/19,10/23/19,597,
572,127,127,BXD65b,F,CD,760,Natural,2/13/11,2/13/12,3/14/13,365,
573,437,437,BXD29,F,CD,761,Natural,11/12/11,2/13/12,12/12/13,93,
574,2657,2657,BXD84,F,CD,761,Natural,8/27/16,12/13/16,9/27/18,108,
575,2850,2850,BXD15,F,CD,762,Euthanized,5/17/18,7/23/18,6/17/20,67,
576,93,93,BXD11,F,CD,762,Natural,4/11/11,2/13/12,5/12/13,308,
577,2634,2634,BXD186,F,CD,762,Natural,8/4/16,9/13/16,9/5/18,40,
578,3249,3249,BXD102,F,CD,763,Euthanized,12/27/19,11/4/20,1/28/22,313,
579,1177,1177,BXD73b,F,CD,763,Natural,8/15/12,8/8/13,9/17/14,358,
580,2860,2860,BXD181,F,CD,764,Euthanized,4/5/18,8/13/18,5/8/20,130,
581,1810,1810,C57BL/6J,F,CD,764,Natural,7/18/14,10/22/14,8/20/16,96,
582,1849,1849,BXD69,F,CD,764,Natural,7/9/14,10/22/14,8/11/16,105,
583,710,710,BXD48a,F,CD,766,Natural,3/9/12,7/20/12,4/14/14,133,
584,2848,2848,BXD5,F,CD,766,Natural,5/4/18,7/23/18,6/8/20,80,
585,3085,3085,DBA/2J,F,CD,766,Natural,7/30/18,3/16/20,9/3/20,595,
586,828,828,BXD65b,F,CD,768,Natural,2/27/12,7/20/12,4/5/14,144,
587,3039,3039,BXD213,F,CD,769,Euthanized,12/18/18,3/4/20,1/25/21,442,
588,2648,2648,DBA/2J,F,CD,772,Natural,5/2/16,12/13/16,6/13/18,225,
589,3083,3083,BXD160,F,CD,772,Natural,2/18/19,3/5/20,3/31/21,381,
590,362,362,BXD12,F,CD,773,Natural,7/6/11,2/13/12,8/17/13,222,
