Longevity data downloaded from FMP by Suheeta Roy on 3 Feb 2023,,,,,,,,,,,,
Aging BXD colony @ UTHSC on two diets- chow and high fat,,,,,,,,,,,,
Animals with age at death >200 days are considered for longevity analysis,,,,,,,,,,,,
,,,,,,,,,,,,
Index,EarTagNumberCurrent,EarTagNumberOriginal,StrainName,Sex,Diet,AgeAtDeath (days),CauseOfDeath,DateOfBirth,DateDietStart,DateOfDeath,AgeAtSettingUp (days),
66,194,194,BXD24,F,CD,390,Natural,9/3/11,2/13/12,9/27/12,163,
67,1346,1346,BXD68,F,CD,392,Euthanized,5/8/13,11/15/13,6/4/14,191,
68,9,9,BXD60,F,CD,392,Natural,6/27/11,2/13/12,7/23/12,231,
69,195,195,BXD9,F,CD,393,Natural,10/3/11,2/13/12,10/30/12,133,
70,905,905,BXD98,F,CD,395,Natural,3/21/12,7/20/12,4/20/13,121,
71,525,525,C57BL/6J,F,CD,397,Natural,2/27/12,7/20/12,3/30/13,144,
72,1489,1489,BXD40,F,CD,397,Natural,1/26/14,4/11/14,2/27/15,75,
73,38,38,BXD83,F,CD,398,Natural,11/1/10,10/25/11,12/4/11,358,
74,4501,4501,BXD2,F,CD,398,Natural,5/29/21,10/14/21,7/1/22,138,
75,90,90,BXD9,F,CD,401,Natural,4/4/11,2/13/12,5/9/12,315,
76,1014,1014,BXD9,F,CD,403,Natural,4/15/13,8/8/13,5/23/14,115,
77,2596,2596,BXD84,F,CD,404,Natural,7/5/16,8/11/16,8/13/17,37,
78,4528,4528,BXD2,F,CD,406,Euthanized,7/5/21,11/10/21,8/15/22,128,
79,320,320,BXD60,F,CD,406,Natural,10/10/11,2/13/12,11/19/12,126,
80,867,867,BXD95,F,CD,407,Natural,12/21/11,7/20/12,1/31/13,212,
81,3073,3073,BXD178,F,CD,410,Euthanized,4/26/19,3/5/20,6/9/20,314,
82,3077,3077,BXD171,F,CD,416,Euthanized,2/15/19,3/5/20,4/6/20,384,
83,3205,3205,BXD170,F,CD,416,Euthanized,5/10/20,9/23/20,6/30/21,136,
84,4843,4843,BXD34,F,CD,417,Natural,12/3/20,3/25/22,1/24/22,477,
85,2527,2527,BXD18,F,CD,419,Natural,10/28/15,1/15/16,12/20/16,79,
86,2732,2732,BXD197,F,CD,424,Natural,10/31/17,1/8/18,12/29/18,69,
87,4540,4540,BXD60,F,CD,425,Natural,7/30/21,11/10/21,9/28/22,103,
88,752,752,BXD32,F,CD,426,Euthanized,1/14/12,7/20/12,3/15/13,188,
89,94,94,BXD11,F,CD,426,Natural,4/11/11,2/13/12,6/10/12,308,
90,749,749,BXD40,F,CD,427,Natural,11/24/11,7/20/12,1/24/13,239,
91,1013,1013,BXD9,F,CD,427,Natural,4/15/13,8/8/13,6/16/14,115,
92,2854,2854,BXD5,F,CD,427,Natural,6/11/18,7/23/18,8/12/19,42,
93,1191,1191,BXD100,F,CD,432,Natural,4/25/13,8/8/13,7/1/14,105,
94,351,351,BXD48a,F,CD,434,Natural,7/30/11,2/13/12,10/6/12,198,
95,2568,2568,BXD18,F,CD,434,Natural,1/24/16,2/19/16,4/2/17,26,
96,1002,1002,BXD9,F,CD,435,Euthanized,1/2/13,8/8/13,3/13/14,218,
97,369,369,BXD9,F,CD,435,Natural,9/22/11,2/13/12,11/30/12,144,
98,19,19,BXD70,F,CD,436,Natural,4/4/11,2/13/12,6/13/12,315,
99,3061,3061,BXD14,F,CD,436,Natural,2/26/19,3/4/20,5/7/20,372,
100,371,371,BXD9,F,CD,440,Euthanized,9/24/11,2/13/12,12/7/12,142,
101,72,72,BXD48a,F,CD,440,Natural,4/29/11,2/13/12,7/12/12,290,
102,163,163,BXD60,F,CD,441,Natural,10/16/11,2/13/12,12/30/12,120,
103,2729,2729,BXD197,F,CD,441,Natural,10/31/17,1/8/18,1/15/19,69,
104,1591,1591,BXD85,F,CD,444,Euthanized,9/15/13,6/12/14,12/3/14,270,
105,2754,2754,BXD187,F,CD,444,Euthanized,1/2/18,2/23/18,3/22/19,52,
106,86,86,BXD29,F,CD,444,Natural,5/15/11,2/13/12,8/1/12,274,
107,375,375,BXD9,F,CD,448,Euthanized,9/24/11,2/13/12,12/15/12,142,
108,159,159,BXD70,F,CD,449,Natural,10/20/11,2/13/12,1/11/13,116,
109,768,768,BXD85,F,CD,449,Natural,1/12/12,7/20/12,4/5/13,190,
110,2266,2266,BXD79,F,CD,449,Natural,3/28/15,8/5/15,6/19/16,130,
111,300,300,BXD83,F,CD,450,Natural,3/2/11,2/13/12,5/25/12,348,
112,92,92,BXD9,F,CD,452,Natural,6/15/11,2/13/12,9/9/12,243,
113,906,906,BXD98,F,CD,456,Natural,3/21/12,7/20/12,6/20/13,121,
114,2894,2894,DBA/2J,F,CD,459,Euthanized,10/25/18,3/14/19,1/27/20,140,
115,2352,2352,BXD8,F,CD,459,Natural,6/23/15,11/3/15,9/24/16,133,
116,2324,2324,BXD170,F,CD,461,Natural,6/30/15,11/3/15,10/3/16,126,
117,2624,2624,BXD169,F,CD,461,Natural,8/4/16,9/13/16,11/8/17,40,
118,197,197,BXD9,F,CD,462,Natural,10/3/11,2/13/12,1/7/13,133,
119,2842,2842,BXD15,F,CD,462,Natural,4/30/18,7/23/18,8/5/19,84,
120,2856,2856,BXD5,F,CD,462,Natural,6/11/18,7/23/18,9/16/19,42,
121,797,797,BXD101,F,CD,463,Natural,12/30/11,7/20/12,4/6/13,203,
122,2728,2728,BXD199,F,CD,466,Euthanized,10/30/17,1/8/18,2/8/19,70,
123,3076,3076,BXD2,F,CD,466,Euthanized,12/27/18,3/5/20,4/6/20,434,
124,199,199,BXD9,F,CD,466,Natural,10/3/11,2/13/12,1/11/13,133,
125,2825,2825,BXD14,F,CD,467,Natural,4/11/18,7/12/18,7/22/19,92,
126,747,747,BXD40,F,CD,469,Natural,11/24/11,7/20/12,3/7/13,239,
127,2796,2796,BXD31,F,CD,470,Euthanized,3/26/18,6/14/18,7/9/19,80,
128,344,344,BXD100,F,CD,470,Natural,11/3/11,2/10/12,2/15/13,99,
129,741,741,BXD90,F,CD,471,Natural,1/4/12,7/20/12,4/19/13,198,
130,901,901,BXD16,F,CD,472,Natural,10/4/11,7/20/12,1/18/13,290,
131,167,167,BXD60,F,CD,474,Natural,10/2/11,2/13/12,1/18/13,134,
132,2278,2278,BXD172,F,CD,475,Natural,8/23/14,8/5/15,12/11/15,347,
133,2873,2873,BXD14,F,CD,476,Euthanized,7/4/18,9/25/18,10/23/19,83,
134,1001,1001,BXD9,F,CD,476,Natural,1/2/13,8/8/13,4/23/14,218,
135,430,430,BXD89,F,CD,477,Euthanized,11/5/11,2/13/12,2/24/13,100,
136,2897,2897,DBA/2J,F,CD,478,Euthanized,12/15/18,3/14/19,4/6/20,89,
137,2692,2692,BXD190,F,CD,479,Euthanized,9/17/17,11/20/17,1/9/19,64,
138,327,327,BXD77,F,CD,480,Euthanized,10/24/11,2/13/12,2/15/13,112,
139,3159,3159,BXD216,F,CD,480,Euthanized,6/30/19,8/7/20,10/22/20,404,
140,120,120,BXD85,F,CD,480,Natural,2/16/11,2/13/12,6/10/12,362,
141,121,121,BXD85,F,CD,480,Natural,2/16/11,2/13/12,6/10/12,362,
